,date,juliandate,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag20
0,80713,2454661.48754,18.99664,,15.30264,15.79964,17.71864,,13.71864,15.472639999999998,15.516639999999999,13.588639999999998,,,,,15.09964,14.60764,16.86264,17.33164,15.809639999999998,16.80464
1,60109,2453745.80045,18.87122,,15.437219999999998,15.93622,17.831220000000002,,14.850219999999998,15.588219999999998,15.63122,14.791219999999997,,,14.11322,14.37122,15.207219999999998,14.69222,16.98122,17.47222,15.951219999999998,16.93222
2,60110,2453746.80329,17.939880000000002,,14.57388,15.085880000000001,16.95388,,14.007880000000002,14.768880000000001,14.786880000000002,13.946880000000002,,,,,14.34988,13.900879999999999,16.108880000000003,16.62188,15.103880000000002,16.10488
3,60111,2453747.80101,18.579880000000003,,15.264879999999998,15.726879999999998,17.594880000000003,,14.66488,15.44988,15.448879999999999,14.601879999999998,,,,,15.05388,14.558879999999998,16.814880000000002,17.26988,15.779879999999999,16.76388
4,60112,2453748.75197,18.733939999999997,,15.30494,15.802940000000001,17.635939999999998,14.149939999999999,14.736939999999999,15.480939999999999,15.50794,14.66494,,,13.977939999999998,14.25894,15.10994,14.617939999999999,16.856939999999998,17.32594,15.82194,16.803939999999997
5,60113,2453749.70851,18.60536,,15.30436,15.807360000000001,17.746360000000003,,14.721359999999999,15.476360000000001,15.50436,14.66436,,,13.96936,14.24536,15.09436,14.59136,16.84136,17.322360000000003,15.810360000000001,16.807360000000003
6,60114,2453750.79611,18.875880000000002,,15.31088,15.81688,17.759880000000003,14.150879999999999,14.731879999999999,15.47188,15.519879999999999,14.672880000000001,,,13.97988,14.246879999999999,15.08788,14.612879999999999,16.84288,17.212880000000002,15.82588,16.832880000000003
7,60116,2453752.83464,18.58752,,15.286520000000001,15.801520000000002,17.667520000000003,,14.717519999999999,15.44852,15.50652,14.64952,,,,,14.998520000000001,14.58752,16.80852,17.317520000000002,15.80652,16.67752
8,60117,2453753.71490,18.83132,,15.287320000000001,15.790320000000001,17.26732,14.125320000000002,14.706320000000002,15.421320000000001,15.49232,14.64032,,,13.94632,14.22232,15.049320000000002,14.55932,16.87132,17.32532,15.799320000000002,16.782320000000002
9,60118,2453754.78917,18.64254,,15.281540000000001,15.78854,17.734540000000003,,14.70454,15.43954,15.487540000000001,14.644540000000001,,,13.938540000000001,14.212539999999999,15.06254,14.56754,16.824540000000002,17.30854,15.772540000000001,16.746540000000003
10,60121,2453757.80413,,,,,,,,,,,,,,,,,,,,
11,60122,2453758.71490,18.729619999999997,,15.27662,15.758619999999999,17.628619999999998,14.112620000000001,14.68462,15.461619999999998,15.478620000000001,14.627619999999999,,,13.950619999999999,14.225620000000001,15.072619999999999,14.58562,16.831619999999997,17.320619999999998,15.79462,16.78662
12,60123,2453759.70975,18.731959999999997,,15.28396,15.78096,17.63896,14.115960000000001,14.697960000000002,15.456960000000002,15.479960000000002,14.63796,,,13.95796,14.23996,15.07196,14.586960000000001,16.826959999999996,17.32596,15.78996,16.78796
13,60124,2453760.77081,18.728880000000004,,15.285879999999999,15.77788,17.657880000000002,,14.69088,15.45888,15.477879999999999,14.634879999999999,,,,,15.07688,14.592879999999997,16.821880000000004,17.31088,15.805879999999998,16.801880000000004
14,60125,2453761.78482,18.7452,,15.280199999999999,15.7722,17.6552,,14.681199999999999,15.448199999999998,15.469199999999999,14.625199999999998,,,13.9462,14.210199999999999,15.0722,14.576199999999998,16.7972,17.3152,15.797199999999998,16.7462
15,60126,2453762.78912,18.74686,,15.271859999999998,15.796859999999997,17.66086,,14.698859999999998,15.43886,15.480859999999998,14.640859999999998,,,,,15.05186,14.565859999999999,16.72486,17.27186,15.782859999999998,16.758860000000002
16,60129,2453765.77573,18.767200000000003,,15.403199999999998,15.882200000000001,17.7892,,14.8262,15.5612,15.6162,14.7682,,,14.0622,14.3372,15.1772,14.6862,16.938200000000002,17.4512,15.918199999999997,16.898200000000003
17,60130,2453766.63941,18.63942,,15.288419999999999,15.78442,17.53342,14.12142,12.71942,15.421420000000001,15.489419999999999,14.575420000000001,,,13.95542,14.212420000000002,15.055420000000002,14.56342,16.78942,17.31242,15.791419999999999,16.79442
18,60204,2453771.68498,18.542279999999998,13.70428,15.29928,15.79728,17.70828,14.138280000000002,14.713280000000001,15.48228,15.49128,14.65728,,,13.97728,14.257280000000002,15.095280000000002,14.604280000000003,16.792279999999998,17.352279999999997,15.81428,16.809279999999998
19,60205,2453772.77988,18.77752,,15.28652,15.78952,17.62652,,14.69052,15.46452,15.47052,14.634520000000002,,,13.954519999999999,14.227520000000002,15.08652,14.59152,16.83852,17.30052,15.802520000000001,16.77552
20,60206,2453773.71829,18.604560000000003,,15.30456,15.78656,17.59756,14.12956,14.700560000000001,15.474560000000002,15.48756,14.648560000000002,,,13.968560000000002,14.244560000000002,15.09256,14.601560000000001,16.836560000000002,17.317560000000004,15.808560000000002,16.749560000000002
21,60208,2453775.66758,18.42696,,15.285960000000001,15.783960000000002,17.64496,14.115960000000003,14.694960000000004,15.413960000000001,15.476960000000004,14.63696,,,13.952960000000003,14.237960000000003,15.074960000000003,14.58496,16.819960000000002,17.31896,15.79696,16.80296
22,60209,2453776.65442,18.818979999999996,,15.32398,15.82698,17.714979999999997,,,15.49198,15.521980000000001,14.687979999999998,,,13.98898,14.249979999999999,15.124979999999999,14.62598,16.87198,17.33898,15.749979999999999,16.81498
23,60210,2453777.68924,18.906579999999998,,15.26858,15.76558,17.670579999999998,,14.69058,15.418579999999999,15.46958,14.62858,,,,,15.045580000000001,14.56858,16.814579999999996,17.256579999999996,15.75758,16.775579999999998
24,60211,2453778.68696,18.908579999999997,,15.27858,15.794580000000002,17.70458,,,15.41858,15.47658,14.631580000000001,,,,,15.058580000000001,14.56358,16.809579999999997,17.27658,15.77358,16.777579999999997
25,60215,2453782.71401,18.65154,,15.25954,15.75654,17.56354,14.093539999999999,14.66954,15.412539999999998,15.461539999999998,14.612539999999997,,,13.924539999999999,14.19254,15.03054,14.54154,16.777540000000002,17.24154,15.75954,16.75654
26,60218,2453785.75770,18.79152,,15.29152,15.780520000000001,17.657519999999998,14.124520000000002,14.690520000000001,15.458520000000002,15.478520000000001,14.638520000000002,,,13.964520000000002,14.240520000000002,15.074520000000001,14.589520000000002,16.84852,17.33352,15.80652,16.79652
27,60219,2453786.70791,18.890539999999998,,15.30454,15.80254,17.674540000000004,14.141539999999999,14.71254,15.480539999999998,15.49954,14.660539999999997,,,13.980539999999998,14.25854,15.103539999999999,14.61254,16.84954,17.326539999999998,15.823539999999998,16.808540000000004
28,60220,2453787.71465,18.633200000000002,,15.293199999999997,15.780199999999999,17.6712,,14.6912,15.4552,15.4762,14.637199999999998,,,,,15.076199999999998,14.590199999999998,16.8322,17.322200000000002,15.803199999999999,16.7832
29,60302,2453797.76585,18.761200000000002,,15.273200000000001,15.7842,17.628200000000003,14.1332,14.7062,15.4812,15.497200000000001,14.649199999999999,,,13.9822,14.248199999999999,15.094199999999999,14.6062,16.860200000000003,17.2112,15.808200000000001,16.802200000000003
30,60303,2453798.77321,18.77654,,15.30654,15.80354,17.68054,14.13754,14.714540000000001,15.479539999999998,15.49554,14.66054,,,13.98054,14.25354,15.09454,14.60254,16.84354,17.33154,15.81254,16.79054
31,60305,2453800.68788,18.83386,,15.326860000000002,15.80486,17.700860000000002,,14.722859999999999,15.49386,15.51686,14.67186,,,,,15.11286,14.61086,16.849860000000003,17.31286,15.82586,16.83286
32,60306,2453801.70257,18.88752,,15.296520000000003,15.80852,17.65852,,14.722520000000001,15.48652,15.50952,14.665520000000003,,,13.990520000000002,14.261520000000003,15.097520000000001,14.61952,16.84252,17.34952,15.815520000000001,16.82752
33,60307,2453802.66319,18.85754,,15.296539999999998,15.776539999999999,17.66254,,14.697539999999998,15.463539999999997,15.487539999999997,14.64354,,,13.967539999999998,14.23654,15.08554,14.598539999999998,16.84254,17.29254,15.802539999999999,16.80554
34,60309,2453804.68295,18.84986,,15.286859999999999,15.81086,17.71986,,14.725859999999999,15.44486,15.51686,14.689859999999998,,,,,15.10786,14.605859999999998,16.83386,17.36086,15.829859999999998,16.84186
35,60310,2453805.68213,18.91986,,15.320859999999998,15.815859999999999,17.723860000000002,,14.72686,15.48786,15.51186,14.669859999999998,,,13.97986,14.250859999999998,15.105859999999998,14.611859999999998,16.84786,17.30386,15.83086,16.83386
36,60311,2453806.69588,18.95752,,15.314520000000002,15.825520000000001,17.73552,,14.72352,15.480520000000002,15.515520000000002,14.66752,,,13.97552,14.24952,15.108520000000002,14.61252,16.81852,17.352520000000002,15.823520000000002,16.83252
37,60318,2453813.67835,18.678520000000002,,15.308520000000001,15.760520000000003,17.676520000000004,14.142520000000001,14.715520000000001,15.448520000000002,15.50852,14.663520000000002,,,13.981520000000003,14.253520000000002,15.100520000000003,14.607520000000001,16.852520000000002,17.344520000000003,15.80752,16.81352
38,60320,2453815.71537,18.8412,,15.3112,15.813199999999998,17.6392,14.1482,14.7222,15.482199999999999,15.510200000000001,14.668199999999999,,,13.9862,14.257200000000001,15.1112,14.6172,16.8502,17.3342,15.8292,16.8152
39,60321,2453816.65095,18.99786,,15.308859999999997,15.78986,17.64686,,14.706859999999997,15.468859999999998,15.489859999999998,14.651859999999997,,,13.962859999999997,14.244859999999997,15.087859999999997,14.599859999999998,16.84686,17.31586,15.803859999999998,16.82186
40,60322,2453817.68784,18.82652,,15.30652,15.792520000000001,17.660519999999998,,14.714520000000002,15.470520000000002,15.502520000000002,14.658520000000001,,,13.972520000000001,14.24452,15.094520000000001,14.59952,16.83252,17.32952,15.80852,16.79052
41,60324,2453819.60581,18.80388,,15.30088,15.820879999999999,17.70888,,14.72288,15.482880000000002,15.500879999999999,14.660879999999999,,,,,15.10988,14.601880000000001,16.85088,17.331879999999998,15.82688,16.81188
42,60326,2453821.62459,18.7192,,15.302200000000001,15.8042,17.7022,,14.7172,15.465200000000001,15.5022,14.663200000000002,,,,,15.096200000000001,14.594199999999999,16.845200000000002,17.3322,15.823200000000002,16.770200000000003
43,60328,2453823.65967,18.49052,,15.28952,15.794519999999999,17.70152,14.12152,,15.44452,15.489519999999999,14.649519999999999,,,13.956520000000001,14.23752,15.08352,14.579519999999999,16.81952,17.32452,15.791519999999998,16.73752
44,60407,2453833.63678,18.62352,,15.310520000000002,15.815520000000001,17.694520000000004,,14.73552,15.493520000000002,15.51552,14.67552,,,13.984520000000002,14.252520000000002,15.118520000000002,14.612520000000002,16.847520000000003,17.356520000000003,15.827520000000002,16.81452
45,60408,2453834.63584,18.96152,13.762519999999999,15.367519999999999,15.86552,17.70952,14.19152,14.774519999999999,15.52852,15.549520000000001,14.71952,,,14.02552,14.305520000000001,15.154520000000002,14.65352,16.88752,17.39252,15.87152,16.80452
46,60409,2453835.64960,18.72986,,15.302859999999997,15.815859999999999,17.71786,14.130859999999997,14.709859999999997,15.459859999999997,15.500859999999998,14.65386,,,13.973859999999997,14.250859999999998,15.08086,14.579859999999998,16.85486,17.37686,15.812859999999999,16.81686
47,60417,2453843.64479,18.8622,13.7262,15.3312,15.815199999999999,17.706200000000003,14.163199999999998,14.741200000000001,15.4932,15.523200000000001,14.6852,,,13.997200000000001,14.2842,15.1182,14.6302,16.8592,17.342200000000002,15.8362,16.819200000000002
48,60419,2453845.60450,18.70552,,15.314520000000002,15.802520000000001,17.663520000000002,14.14152,14.71152,15.475520000000003,15.497520000000002,14.651520000000001,,,13.975520000000003,14.254520000000003,15.09252,14.605520000000002,16.850520000000003,17.33052,15.805520000000001,16.80152
49,60421,2453847.57014,18.85886,,15.329859999999998,15.80786,17.77286,14.15986,14.73886,15.475859999999999,15.51986,14.680860000000001,,,13.99086,14.27086,15.11286,14.61386,16.880860000000002,17.35586,15.82786,16.83686
50,60423,2453849.53960,18.846200000000003,,15.3192,15.8212,17.7432,14.157200000000001,14.727200000000002,15.4842,15.524199999999999,14.677200000000001,,,13.9902,14.268200000000002,15.102200000000002,14.6102,16.7982,17.393200000000004,15.8302,16.8412
51,60424,2453850.51419,18.90022,,15.308219999999999,15.83322,17.77522,,14.73022,15.48422,15.50122,14.665219999999998,,,13.98622,14.253219999999999,15.101220000000001,14.607219999999998,16.83722,17.369220000000002,15.82922,16.79122
52,80224,2454521.76942,18.65886,,15.29086,15.79586,17.715860000000003,,14.69986,15.440859999999999,15.504859999999999,14.65386,,,13.968860000000001,14.24686,15.073860000000002,14.56686,16.83886,17.308860000000003,15.79386,16.797860000000004
53,81214,2454815.79150,18.80902,,15.288020000000001,15.77202,17.71002,,,15.46502,15.51402,,,,,,15.08302,,16.83002,17.32402,15.79502,16.81002
54,81217,2454818.78293,18.75002,,15.20602,15.71102,17.580019999999998,,,15.37102,15.42602,,,,,,,,16.73002,17.24202,15.722020000000002,16.720019999999998
55,81220,2454821.79130,18.46198,,15.310979999999999,15.803979999999997,17.70698,,14.70698,15.48898,15.52698,14.684979999999998,,,13.998979999999998,14.263979999999998,15.103979999999998,14.595979999999999,16.85898,17.31898,15.83198,16.81898
56,81224,2454825.75773,18.441699999999997,,15.2417,15.743700000000002,17.6477,,,15.4257,15.472700000000001,,,,,,15.031700000000003,,16.793699999999998,17.2627,15.763700000000002,16.7457
57,81227,2454828.80421,18.28026,,15.319260000000002,15.825260000000002,17.71526,,14.744260000000002,15.499260000000001,15.543260000000002,14.694260000000002,,,,,15.121260000000001,14.55026,16.86826,17.35626,15.825260000000002,16.81626
58,90108,2454840.74707,18.3493,,15.312299999999999,15.7933,17.672299999999996,,,15.477300000000001,15.5113,14.675299999999998,,,13.9763,14.245299999999999,15.099300000000001,14.588299999999998,16.836299999999998,17.321299999999997,15.811300000000001,16.774299999999997
59,90117,2454849.77854,,,,,,,,,,,,,,,,,,,,
60,90125,2454857.83224,,,,,,,,,,,,,,,,,,,,
61,90129,2454861.73074,,,,,,,,,,,,,,,,,,,,
62,90214,2454877.62349,,,,,,,,,,,,,,,,,,,,
63,90219,2454882.75708,19.05252,,15.511519999999999,16.00452,17.85252,,14.89952,15.690520000000001,15.73852,14.89652,,,14.17452,14.45952,15.069520000000002,19.61652,17.051520000000004,17.539520000000003,16.01052,16.97452
64,90222,2454885.72452,18.412860000000002,,15.32586,15.81386,17.735860000000002,,14.733859999999998,15.45986,15.53486,14.695859999999998,,,13.99686,14.280859999999999,15.08986,,16.863860000000003,17.36486,15.83686,16.82186
65,90312,2454903.70106,18.538520000000002,,15.293520000000001,15.785520000000002,17.710520000000002,,,15.463520000000003,15.507520000000003,,,,,,15.088520000000003,,16.820520000000002,17.25252,15.799520000000001,16.801520000000004
66,90321,2454912.70837,18.75486,,15.302859999999997,15.79286,17.72686,,,15.45586,15.51986,,,,,,15.093859999999998,,16.83386,17.35286,15.803859999999998,16.80486
67,90407,2454929.65996,18.42886,,15.33386,15.82786,17.73086,,,15.46186,,,,,,,15.096860000000001,,16.87486,17.384860000000003,15.838859999999999,16.83986
68,90410,2454932.63755,18.69152,,15.309520000000003,15.799520000000001,17.684520000000003,,14.72652,15.480520000000002,15.52552,14.67352,,,,,15.106520000000003,14.60152,16.83952,17.28752,15.823520000000002,16.78152
69,90413,2454935.64404,18.35786,,15.30986,15.795859999999998,17.705859999999998,14.141859999999998,14.71686,15.481860000000001,15.516859999999998,14.673859999999998,,,13.97786,14.246859999999998,15.104859999999999,14.603860000000001,16.842859999999998,17.321860000000004,15.81586,16.812860000000004
70,90416,2454938.66739,18.425880000000003,,15.432879999999999,15.937880000000002,17.797880000000003,14.269880000000002,16.948880000000003,15.568880000000002,15.641880000000002,14.733880000000001,,,14.10588,14.37888,15.199880000000002,14.70688,16.984880000000004,17.492880000000003,15.926879999999999,16.939880000000002
71,90418,2454940.60551,18.36252,,15.27552,15.770520000000001,17.65652,14.113520000000001,14.549520000000001,15.42352,15.47552,14.651520000000001,,,13.951520000000002,14.212520000000001,15.049520000000001,14.559520000000003,16.791520000000002,17.22852,15.783520000000003,16.76752
72,90420,2454942.62461,18.39986,,15.300859999999998,15.79286,17.69086,,,15.443859999999999,15.51486,,,,,,15.079859999999998,,16.81086,17.31086,15.797859999999998,16.79586
73,90423,2454945.59693,18.466520000000003,,15.28452,15.77852,17.675520000000002,,14.70252,15.451520000000002,15.501520000000003,14.651520000000001,,,,,15.08052,14.573520000000002,16.81352,17.297520000000002,15.797520000000002,16.774520000000003
74,90424,2454946.50465,18.48556,,15.281559999999999,15.77056,17.61656,,,15.43656,15.48856,,,,,,15.065560000000001,14.565560000000001,16.81356,17.29156,15.78856,16.76956
75,90424,2454946.55715,18.69286,,15.27486,15.766860000000001,17.644859999999998,,,15.447859999999999,15.482859999999999,,,,,,15.06286,14.56286,16.80986,17.28786,15.78686,16.77086
76,90424,2454946.61157,18.43386,,15.284859999999998,15.77686,17.66586,,14.697859999999999,15.452860000000001,15.496859999999998,14.647859999999998,,,,,15.07686,14.574860000000001,16.81886,17.30986,15.796859999999999,16.78686
77,90424,2454946.68299,18.516259999999996,,15.306260000000002,15.803260000000002,17.675259999999998,,14.71126,15.47326,15.515260000000001,14.669260000000001,,,,,15.10126,14.59526,16.836259999999996,17.302259999999997,15.81026,16.800259999999998
78,90424,2454946.73678,18.49404,,15.30504,15.79404,17.645039999999998,,14.70904,15.47104,15.51404,14.661040000000002,,,,,15.09904,14.589040000000002,16.819039999999998,17.319039999999998,15.81604,16.79404
79,90424,2454946.77399,18.551159999999996,,15.292160000000003,15.794160000000002,17.682159999999996,,14.70816,15.469160000000002,15.507160000000002,14.657160000000001,,,13.96216,14.234160000000003,15.097160000000002,14.588160000000002,16.833159999999996,17.319159999999997,15.81316,16.782159999999998
80,90610,2454993.55534,18.59916,,15.300160000000002,15.79316,17.678160000000002,,14.71216,15.446159999999999,15.51116,14.660160000000001,,,13.95816,14.23816,15.091159999999999,14.585160000000002,16.84716,17.32516,15.81016,16.80116
81,90612,2454995.56716,18.69636,,15.32536,15.85436,17.76536,,,15.50536,15.56436,14.72036,,,14.016359999999999,14.297360000000001,15.147359999999999,14.640360000000001,16.85336,17.38136,15.850359999999998,16.85936
82,110402,2455654.65136,18.377319999999997,,15.31432,15.798319999999999,17.671319999999998,,14.696319999999998,15.466320000000001,15.50932,14.65732,,,13.969319999999998,14.234319999999999,15.08432,14.539319999999998,16.848319999999998,17.31732,15.815319999999998,16.82932
83,110407,2455659.63990,18.334319999999998,,15.284319999999997,15.753319999999999,17.662319999999998,,14.67032,15.439319999999999,15.47532,14.631319999999999,,,13.945319999999999,14.208319999999997,15.05932,14.509319999999999,16.813319999999997,17.31532,15.77732,16.798319999999997
84,110417,2455669.57705,18.77476,,15.37576,15.86776,17.69176,,14.758759999999999,15.53876,15.560759999999998,14.722760000000001,,,14.028760000000002,14.298760000000001,15.15576,14.60876,16.92676,17.35576,15.87576,16.88576
85,110424,2455676.54983,18.63676,,15.378760000000002,15.85076,17.71476,,14.75476,15.52576,15.56876,14.716759999999999,,,,,15.13976,,16.91876,17.385759999999998,15.89276,16.88976
86,110516,2455698.52806,18.31632,,15.30032,15.790320000000001,17.63532,,14.677319999999998,15.44932,15.49532,14.64132,,,,14.23132,15.066320000000001,,16.81132,17.29532,15.820319999999999,16.80632
87,110524,2455706.51761,18.42732,,15.325320000000001,15.814319999999999,17.67232,14.13832,14.71132,15.477319999999999,15.51032,14.668320000000001,,,13.985320000000002,14.247320000000002,15.098320000000001,14.56532,16.87032,17.32432,15.83332,16.84832
88,110625,2455738.50205,18.18128,,15.34828,15.840280000000002,17.73428,14.169280000000002,14.74028,15.50528,15.53728,14.697280000000001,,,14.012280000000002,14.276280000000002,15.137280000000002,14.60328,16.89328,17.347279999999998,15.858280000000002,16.87728
89,110719,2455762.48991,18.27244,13.74544,15.331439999999999,15.828439999999999,17.697439999999997,14.15744,14.72744,15.462439999999999,15.52744,14.67844,,,13.988439999999999,14.260440000000001,15.112440000000001,14.577440000000001,16.896440000000002,17.325439999999997,15.83244,16.856440000000003
90,110722,2455765.45892,18.32636,13.73236,15.326360000000001,15.81036,17.66036,14.14836,14.71836,15.490359999999999,15.518360000000001,14.67436,,13.52336,13.97936,14.25236,15.09536,14.56636,16.870359999999998,17.31136,15.823360000000001,16.870359999999998
91,110724,2455767.47330,18.168,13.719000000000001,15.302,15.809000000000001,17.643,14.133,14.699000000000002,15.475999999999999,15.5,14.652000000000001,,13.514,13.969999999999999,14.241,15.088000000000001,14.556999999999999,16.871,17.328,15.811,16.830000000000002
92,120420,2456038.59722,18.258319999999998,,15.27832,15.776319999999998,17.706319999999998,14.11832,14.691320000000001,15.363319999999998,15.49032,14.645319999999998,,,13.92532,14.10332,15.005320000000001,14.48932,16.79132,17.30332,15.776319999999998,16.73932
93,120509,2456057.50169,18.487199999999998,,15.288199999999998,15.791199999999998,17.759199999999996,,14.7062,15.399199999999999,15.4962,14.651200000000001,,,,,15.0222,14.489199999999999,16.8402,17.2702,15.7872,16.768199999999997
94,120519,2456067.52320,18.47532,,15.279319999999998,15.782319999999999,17.697319999999998,,14.688320000000001,15.360319999999998,15.49832,14.64632,,,,,15.002320000000001,14.48932,16.79732,17.27632,15.77832,16.79032
95,120522,2456070.59143,18.486839999999997,13.730839999999999,15.319840000000001,15.817840000000002,17.74484,14.162840000000001,14.73184,15.40684,15.53484,14.692840000000002,,,13.971840000000002,14.15284,15.05484,14.53084,16.853839999999998,17.33184,15.822840000000001,16.832839999999997
96,120604,2456083.52601,18.271079999999998,,15.308080000000002,15.799080000000002,17.736079999999998,14.14708,14.717080000000001,15.392080000000002,15.500080000000002,14.67808,,,13.964080000000001,14.139080000000002,15.02108,14.51508,16.75808,17.303079999999998,15.81208,16.79908
97,120715,2456124.53802,18.594706,13.726706,15.315705999999999,15.819706,17.771706,14.147706,14.721706000000001,15.404706000000001,15.523706,14.674706,,,13.978705999999999,14.149705999999998,15.028706,14.519706,16.781705999999996,17.301706,15.814706000000001,16.831706
98,121221,2456283.80671,18.744245,,15.239244999999999,15.738244999999997,17.643245,14.088244999999999,14.662245,15.351245,15.446245,14.613244999999997,,,13.896244999999999,14.074245,14.974244999999998,14.459244999999997,16.759245,17.298245,15.749245,16.734245
99,121229,2456291.78194,18.582889,,15.383889000000002,15.896889,17.696889000000002,14.226889000000002,14.805888999999999,15.489889,15.606889,14.751889,,,14.040889000000002,14.182889000000001,15.116888999999999,14.592889000000001,16.929889000000003,17.440889000000002,15.894889000000001,16.885889000000002
100,130105,2456298.83525,18.995025,13.693024999999999,15.299025,15.774024999999998,17.729025,14.128025000000001,14.699024999999999,15.386025,15.482025,14.652024999999998,,13.392025,13.942025000000001,14.129024999999999,15.012025000000001,14.493025,16.818025,17.322025,15.782025,16.753025
101,130108,2456301.81564,18.887646999999998,,15.319647000000002,15.827647,17.684647,14.164647,14.731647,15.385647,15.525647000000001,14.690647,,,13.947647000000002,14.109647,15.004647,14.493647000000001,16.839647,17.356647,15.772647000000001,16.789647
102,130113,2456306.75999,18.547966000000002,,15.312966000000001,15.814966,17.697966,14.148966,14.722966000000001,15.402966000000001,15.529966,14.677966,,,13.956966,14.128966,15.040966,14.527966000000001,16.856966000000003,17.287966,15.807965999999999,16.810966
103,130125,2456318.74310,18.494553,,15.312553,15.818553,17.728552999999998,,14.724553000000002,15.394553,15.523553000000001,14.671553000000001,,,13.955553,14.122553000000002,15.034553,14.526553000000002,16.851553,17.341552999999998,15.803552999999999,16.835552999999997
104,130128,2456321.74561,18.338282999999997,,15.327283000000001,15.829283,17.721282999999996,14.164283000000001,14.739283,15.396283,15.539283000000001,14.690283,,,13.978283000000001,14.153283000000002,15.055283,14.535283,16.872282999999996,17.351283,15.827283000000001,16.824282999999998
105,130212,2456336.72574,18.466509,,15.320509,15.824509,17.619508999999997,,14.727509,15.414509,15.525509000000001,14.680508999999999,,,,,15.044509,14.528509000000001,16.878508999999998,17.302509,15.819509000000002,16.828509
106,130215,2456339.75923,18.218861999999998,,15.261861999999999,15.769861999999998,17.614862,,14.673862000000002,15.349862,15.467861999999998,14.623862,,,13.915861999999999,14.094862000000001,14.975862000000001,14.464861999999998,16.780862,17.281861999999997,15.775861999999998,16.759862
107,130219,2456343.74058,18.243401,,15.274401000000001,15.763400999999998,17.716401,14.097401000000001,14.689401,15.378401,15.488401,14.639401,,,13.934401000000001,14.132401000000002,15.006401,14.483401,16.796401,17.316401,15.779401,16.770401
108,130305,2456357.65619,18.446309999999997,13.74131,15.33931,15.856309999999999,17.740309999999997,14.15031,14.734309999999999,15.431310000000002,15.52331,14.693309999999999,,13.44731,13.987309999999999,14.17931,15.04631,14.536309999999999,16.891309999999997,17.38131,15.83131,16.82631
