,date,juliandate,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag20
0,80713,2454661.49866,20.5384,,16.7604,17.1944,18.919400000000003,14.7144,14.5514,16.4764,16.5064,14.565399999999999,,,14.8104,15.669399999999998,16.1194,15.985400000000002,17.9624,18.561400000000003,16.8734,18.241400000000002
1,60109,2453745.8116099997,20.409200000000002,,16.8522,17.299200000000003,18.9682,15.228200000000001,16.014200000000002,16.552200000000003,16.601200000000002,16.0832,,,14.917200000000001,15.761200000000002,16.1732,16.0012,17.970200000000002,18.7472,16.9812,18.3032
2,60110,2453746.81446,19.5496,,16.184600000000003,16.629600000000003,18.285600000000002,14.5516,15.342599999999997,15.902600000000001,15.9216,15.4086,,,14.2466,15.090599999999998,15.525599999999997,15.3596,17.352600000000002,18.0766,16.311600000000002,17.658600000000003
3,60111,2453747.8121700003,20.1306,,16.7076,17.151600000000002,18.8086,,15.866599999999996,16.465600000000002,16.452600000000004,15.940600000000002,,,,15.6186,16.0606,15.8956,17.885599999999997,18.589600000000004,16.8446,18.156599999999997
4,60112,2453748.76314,20.3378,,16.7288,17.1608,18.8098,15.106800000000002,15.915800000000003,16.4278,16.4758,15.973800000000002,,,14.7738,15.6398,16.0388,15.868800000000002,17.9218,18.6288,16.8138,18.201800000000002
5,60114,2453750.80725,20.168000000000003,,16.757,17.217000000000002,18.836000000000002,15.133,15.939000000000002,16.438,16.505,15.985999999999999,,,14.799,15.655999999999999,16.077,15.915999999999999,17.897000000000002,18.618,16.869000000000003,18.196
6,60116,2453752.8458,20.2888,,16.7118,17.162799999999997,18.8928,,15.8968,16.397799999999997,16.468799999999998,15.9488,,,14.7448,15.6088,16.022799999999997,15.880799999999999,17.8388,18.5828,16.8328,18.161799999999996
7,60117,2453753.72606,20.4024,14.6034,16.7284,17.159399999999998,18.886400000000002,15.113399999999999,15.921399999999998,16.4194,16.4894,15.9784,,,14.776399999999999,15.6404,16.0374,15.915400000000002,17.8634,18.6054,16.8454,18.181400000000004
8,60118,2453754.80033,19.979,,16.736,17.185,18.865,15.120000000000001,15.929,16.422,16.498,15.989999999999997,,,14.771999999999998,15.644000000000002,16.057,15.909999999999998,17.898,18.572000000000003,16.856,18.222
9,60121,2453757.8153,,,,,,,,,,,,,,,,,,,,
10,60122,2453758.72606,20.2686,14.621600000000003,16.730600000000003,17.1246,18.8416,15.1106,15.903599999999999,16.471600000000002,16.479599999999998,15.9686,14.2476,14.5006,14.807599999999999,15.6696,16.083599999999997,15.9216,17.909599999999998,18.584600000000002,16.873599999999996,18.1836
11,60123,2453759.7209099997,20.218600000000002,,16.6956,17.1426,18.802600000000005,15.0786,15.871599999999999,16.4396,16.4516,15.9336,,,14.771600000000001,15.6346,16.044600000000003,15.891600000000002,17.8746,18.5976,16.845599999999997,18.1676
12,60124,2453760.78197,20.466,,16.729000000000003,17.168000000000003,18.844000000000005,15.098999999999998,15.891,16.452,16.476000000000003,15.958,,,14.790999999999999,15.638999999999998,16.071,15.914,17.908,18.609,16.862000000000002,18.206000000000003
13,60125,2453761.79598,20.3264,,16.7204,17.174400000000002,18.829400000000003,15.097399999999999,15.8804,16.456400000000002,16.4724,15.9554,,,14.791400000000001,15.6454,16.076400000000003,15.913400000000001,17.907400000000003,18.6254,16.8564,18.1864
14,60126,2453762.80028,20.160400000000003,,16.7164,17.134400000000003,18.8904,,15.8954,16.399400000000004,16.4754,15.948399999999998,,,,15.609399999999999,16.0374,15.891399999999999,17.868400000000005,18.6064,16.8304,18.163400000000003
15,60129,2453765.7869,20.329400000000007,,16.720400000000005,17.169400000000003,18.903399999999998,15.098400000000002,15.902399999999998,16.4054,16.4814,15.967399999999996,,,14.7634,15.621400000000001,16.037399999999998,15.894400000000003,17.869400000000006,18.6314,16.8324,18.148400000000002
16,60130,2453766.65058,20.191799999999997,14.601800000000003,16.7268,17.1728,18.901799999999998,15.1118,,16.3948,16.4908,15.9678,,,14.7678,15.616800000000003,16.0428,15.9058,17.8938,18.637800000000002,16.8328,18.1688
17,60204,2453771.69613,20.1644,14.6174,16.739399999999996,17.1794,18.843400000000003,15.113400000000002,15.904399999999997,16.458399999999997,16.4814,15.9704,,14.5014,14.8034,15.6674,16.077399999999997,15.923400000000003,17.9054,18.632399999999997,16.8664,18.212400000000002
18,60205,2453772.79105,20.342799999999997,,16.7538,17.1988,18.8508,,15.910800000000004,16.479799999999997,16.483799999999995,15.974800000000004,,,14.8108,15.674800000000001,16.1038,15.935800000000002,17.921799999999998,18.6408,16.8908,18.227799999999995
19,60206,2453773.72946,20.116200000000003,,16.7002,17.1432,18.7972,15.075199999999999,15.866200000000003,16.4292,16.441200000000002,15.932200000000002,,,14.761200000000002,15.6292,16.0442,15.888200000000001,17.877200000000002,18.6032,16.826200000000004,18.164199999999997
20,60208,2453775.6787400004,20.144600000000004,14.6026,16.717599999999997,17.1556,18.840600000000002,15.089599999999999,15.8776,16.449600000000004,16.455600000000004,15.9416,,14.478600000000002,14.778600000000003,15.6456,16.0646,15.900600000000003,17.8936,18.598599999999998,16.8566,18.189600000000006
21,60209,2453776.6655900003,20.1294,,16.7334,17.174400000000002,18.9204,15.119400000000002,,16.4344,16.4924,15.9864,,,14.7684,15.6204,16.0614,15.8884,17.873400000000004,18.557399999999998,16.849400000000003,18.1994
22,60210,2453777.70041,20.434,,16.718999999999998,17.128999999999998,18.875,15.100999999999999,15.911000000000001,16.411,16.487,15.977,,,14.759999999999998,15.617999999999999,16.048000000000002,15.887,17.878999999999998,18.649,16.836,18.189999999999998
23,60211,2453778.69813,21.027,,16.700000000000003,17.145000000000003,18.941000000000003,15.088,,16.395000000000003,16.476000000000003,15.955000000000002,,,14.770999999999999,15.625000000000002,16.051000000000002,15.911000000000001,17.875000000000004,18.6,16.854,18.173
24,60218,2453785.7688599997,20.3328,,16.714799999999997,17.1568,18.795799999999996,15.0858,15.873800000000001,16.442800000000002,16.4508,15.9458,,,14.7858,15.645800000000003,16.058799999999998,15.895800000000003,17.881800000000002,18.569799999999997,16.8528,18.200799999999997
25,60219,2453786.71907,20.527,14.586,16.713,17.152,18.828000000000003,15.083,15.868999999999998,16.437,16.459,15.938,,,14.778,15.636999999999999,16.05,15.879999999999997,17.857000000000003,18.599,16.845,18.159000000000002
26,60220,2453787.7258099997,20.349400000000003,,16.7214,17.1634,18.7954,,15.881399999999998,16.4444,16.462400000000002,15.9444,,,14.780399999999998,15.641399999999999,16.0614,15.899400000000002,17.8914,18.6174,16.849400000000003,18.1824
27,60302,2453797.77703,20.303600000000003,,16.7296,17.169600000000003,18.8416,15.100599999999998,15.885599999999998,16.4586,16.4736,15.9476,,,14.804599999999999,15.6596,16.0766,15.9126,17.8616,18.6316,16.8586,18.1946
28,60303,2453798.78437,20.186200000000003,14.6232,16.7482,17.1842,18.898200000000003,15.121200000000002,15.909200000000002,16.467200000000002,16.4912,15.975200000000001,,14.5062,14.822200000000002,15.6782,16.087200000000003,15.927200000000003,17.9132,18.6472,16.880200000000002,18.223200000000002
29,60304,2453799.7121099997,20.2238,14.6198,16.7288,17.1648,18.880799999999997,15.1118,15.8998,16.4548,16.476799999999997,15.966800000000001,,14.4948,14.813799999999999,15.6728,16.081799999999998,15.9188,17.7548,18.6498,16.871799999999997,18.2098
30,60305,2453800.69919,20.4834,,16.701400000000003,17.142400000000002,18.817400000000003,,15.8544,16.420400000000004,16.4414,15.925400000000002,,,,15.6114,16.041400000000003,15.8754,17.865400000000005,18.582400000000003,16.829400000000003,18.0134
31,60306,2453801.71375,20.4268,,16.726799999999997,17.1678,18.839799999999997,15.097800000000001,15.8908,16.4478,16.4708,15.9548,,,14.798800000000002,15.6518,16.0688,15.906799999999999,17.889799999999997,18.6178,16.836799999999997,18.1638
