juliandate NMcal merr1
2454521.769 18.664 0.053
2454524.747 18.633 0.041
2454527.711 18.696 0.054
2454542.633 18.460 0.032
2454547.737 18.389 0.061
2454551.734 18.744 0.043
2454554.687 18.627 0.035
2454555.692 18.577 0.038
2454557.720 18.578 0.032
2454559.720 18.678 0.035
2454559.752 18.613 0.034
2454560.743 18.475 0.033
2454565.662 18.694 0.039
2454567.694 18.485 0.029
2454568.653 19.028 0.090
2454569.674 18.674 0.036
2454574.636 18.578 0.055
2454576.724 18.722 0.070
2454580.606 18.841 0.060
2454582.605 18.640 0.044
2454584.601 18.767 0.098
2454587.607 18.631 0.043
2454591.544 18.467 0.036
2454593.598 18.696 0.056
2454594.585 18.608 0.045
2454595.543 18.816 0.052
2454597.570 18.513 0.045
2454598.531 18.701 0.044
2454599.568 18.560 0.043
2454601.559 18.651 0.050
2454602.580 18.659 0.070
2454606.565 18.938 0.085
2454608.546 18.962 0.084
2454611.573 18.564 0.044
2454624.561 18.719 0.056
2454627.544 18.715 0.042
2454629.504 18.747 0.060
2454630.524 18.839 0.073
2454633.483 19.032 0.080
2454640.576 18.533 0.044
2454643.569 18.627 0.042
2454649.475 18.665 0.051
2454650.463 18.913 0.069
2454652.497 18.556 0.043
2454661.488 19.125 0.081
2454666.503 18.604 0.058
2454683.467 18.513 0.055
2454800.796 18.453 0.046
2454806.783 18.551 0.045
2454809.767 18.387 0.033
2454815.791 18.815 0.062
2454818.783 18.845 0.055
2454821.791 18.448 0.029
2454825.758 18.492 0.041
2454828.804 18.258 0.040
2454837.779 18.616 0.052
2454840.747 18.355 0.052
2454846.811 18.702 0.042
2454849.779 18.670 0.056
2454857.832 18.735 0.039
2454861.731 18.779 0.031
2454873.740 18.856 0.064
2454877.623 18.588 0.040
2454882.757 18.851 0.051
2454885.725 18.388 0.041
2454888.662 18.961 0.057
2454891.756 18.632 0.035
2454900.696 18.840 0.079
2454903.701 18.544 0.050
2454906.706 18.609 0.047
2454909.677 18.586 0.045
2454912.708 18.751 0.044
2454915.726 18.716 0.043
2454918.671 18.768 0.043
2454921.723 18.776 0.045
2454924.637 18.623 0.046
2454927.630 18.684 0.056
2454929.660 18.396 0.045
2454932.638 18.691 0.060
2454935.644 18.352 0.043
2454938.667 18.305 0.042
2454940.606 18.395 0.040
2454942.625 18.408 0.034
2454945.597 18.486 0.037
2454946.505 18.519 0.039
2454946.557 18.725 0.046
2454946.612 18.453 0.033
2454946.683 18.518 0.033
2454946.737 18.504 0.035
2454946.774 18.560 0.048
2454951.669 18.479 0.037
2454954.594 18.529 0.037
2454956.546 18.181 0.036
2454959.598 18.984 0.098
2454962.548 18.998 0.080
2454965.613 18.630 0.050
2454967.540 18.375 0.037
2454968.572 18.554 0.043
2454970.566 18.406 0.034
2454973.570 18.468 0.040
2454975.518 18.569 0.053
2454987.504 18.507 0.051
2454988.536 18.515 0.049
2454990.535 18.481 0.056
2454993.555 18.603 0.052
2454995.567 18.651 0.045
2454996.490 18.656 0.045
2455652.721 18.355 0.037
2455654.651 18.376 0.040
2455659.640 18.364 0.039
2455669.577 18.715 0.072
2455673.603 18.299 0.046
2455676.550 18.574 0.044
2455689.589 18.338 0.078
2455692.565 18.161 0.038
2455696.577 18.132 0.054
2455698.528 18.332 0.051
2455701.509 18.300 0.042
2455706.518 18.413 0.040
2455715.626 18.274 0.040
2455724.476 18.215 0.045
2455738.502 18.137 0.033
2455741.485 18.238 0.040
2455745.504 18.145 0.035
2455749.544 18.117 0.045
2455756.514 18.113 0.052
2455762.490 18.245 0.045
2455765.459 18.311 0.065
2455767.473 18.170 0.048
2455770.488 18.261 0.072
2456038.597 18.287 0.045
2456041.601 18.296 0.040
2456048.569 18.372 0.054
2456051.553 18.672 0.182
2456054.547 18.354 0.076
2456057.502 18.493 0.048
2456060.538 18.443 0.047
2456061.525 18.488 0.053
2456064.544 18.472 0.064
2456067.523 18.495 0.053
2456070.591 18.463 0.051
2456078.511 18.531 0.070
2456083.526 18.276 0.053
2456086.509 18.403 0.039
2456092.494 18.366 0.059
2456094.464 18.246 0.041
2456100.490 18.216 0.043
2456103.467 18.499 0.056
2456110.512 18.472 0.064
2456115.524 18.239 0.045
2456121.548 18.442 0.039
2456124.538 18.582 0.054
2456127.509 18.250 0.048
2456130.508 18.417 0.082
2456280.818 18.917 0.317
2456283.807 18.808 0.062
2456285.788 18.681 0.051
2456291.782 18.506 0.061
2456294.756 18.846 0.073
2456298.835 19.013 0.081
2456301.816 18.885 0.074
2456306.760 18.538 0.063
2456309.777 18.712 0.060
2456315.794 18.585 0.055
2456318.743 18.480 0.050
2456321.746 18.313 0.047
2456333.676 18.299 0.041
2456336.726 18.458 0.036
2456339.759 18.266 0.031
2456343.741 18.269 0.036
2456353.755 18.372 0.048
2456357.656 18.412 0.048
2456363.675 18.370 0.037
2456367.728 18.482 0.048
2456370.632 18.266 0.050
2456374.651 18.574 0.061
2456377.723 18.870 0.089
2456380.645 18.992 0.107
2456382.644 18.965 0.272
2456385.648 18.582 0.049
2456393.735 18.205 0.039
2456396.595 18.492 0.054
2456399.589 18.509 0.049
2456402.644 18.364 0.056
2456418.684 18.489 0.062
2456422.586 18.653 0.058
2456428.528 18.507 0.046
2456433.515 18.463 0.068
2456436.636 18.615 0.085
2456442.525 18.938 0.079
2456446.556 18.566 0.055
2456448.558 18.347 0.044
2456452.543 18.355 0.047
2456455.530 18.471 0.045
2456458.516 18.882 0.079
2456465.518 18.627 0.075
2456468.550 18.279 0.067
2456473.529 18.535 0.055
2456476.484 18.860 0.090
2456481.484 18.829 0.069
